model,dataset,matching,f1,ci_lower,ci_upper,ci_width
mistral,NBME,Strict Token,0.10682167141917087,0.10112739237254104,0.11228098544022323,0.011153593067682196
mistral,NBME,Lenient Token-Containment,0.12853695985961833,0.12243554750811055,0.13433557444736666,0.011900026939256111
gemma,NBME,Strict Token,0.06972852361472666,0.06552919788191176,0.0740019383829469,0.008472740501035136
gemma,NBME,Lenient Token-Containment,0.08795091111937524,0.0834454842188122,0.0925150479965899,0.009069563777777692
qwen,NBME,Strict Token,0.08906076053202086,0.08290927974437848,0.09541518939530526,0.01250590965092678
qwen,NBME,Lenient Token-Containment,0.11015409855276262,0.10393440085921822,0.11610117336446568,0.012166772505247461
biomistral,NBME,Strict Token,0.0084726867335563,0.006443748300331003,0.010697829289903133,0.00425408098957213
biomistral,NBME,Lenient Token-Containment,0.029134150873281313,0.025390911452873463,0.033077628334818254,0.007686716881944791
mistral,Synthea,Strict Token,0.08743806470416787,0.0738969345649073,0.10195372458610782,0.028056790021200526
mistral,Synthea,Lenient Token-Containment,0.2617312736811425,0.2411875533927605,0.2808042586090611,0.03961670521630062
gemma,Synthea,Strict Token,0.12271973466003316,0.1115660666114204,0.135322630244822,0.02375656363340159
gemma,Synthea,Lenient Token-Containment,0.15257048092868988,0.1399870710781949,0.16586626292451928,0.025879191846324368
qwen,Synthea,Strict Token,0.0970414201183432,0.08685130544050257,0.10796278154202868,0.02111147610152611
qwen,Synthea,Lenient Token-Containment,0.14122287968441816,0.12888064871851496,0.15293010170602775,0.024049452987512793
biomistral,Synthea,Strict Token,0.016522098306484923,0.009829544151961975,0.024211033750702687,0.014381489598740712
biomistral,Synthea,Lenient Token-Containment,0.2775712515489467,0.25494229404298857,0.30091120153376966,0.045968907490781086
