model,dataset,matching,precision,recall,f1,tp,fp,fn,mean_preds,mean_gold
mistral,NBME,Strict Token,0.1759393063583815,0.07669291338582677,0.10682167141917087,974,4562,11726,5.536,12.7
mistral,NBME,Lenient Token-Containment,0.21170520231213874,0.09228346456692914,0.12853695985961833,1172,4364,11528,5.536,12.7
gemma,NBME,Strict Token,0.08511121198365865,0.05905511811023622,0.06972852361472666,750,8062,11950,8.812,12.7
gemma,NBME,Lenient Token-Containment,0.10735360871538811,0.07448818897637795,0.08795091111937524,946,7866,11754,8.812,12.7
qwen,NBME,Strict Token,0.17403251660178612,0.05984251968503937,0.08906076053202086,760,3607,11940,4.367,12.7
qwen,NBME,Lenient Token-Containment,0.2152507442179986,0.07401574803149606,0.11015409855276262,940,3427,11760,4.367,12.7
biomistral,NBME,Strict Token,0.07549668874172186,0.004488188976377953,0.0084726867335563,57,698,12643,0.755,12.7
biomistral,NBME,Lenient Token-Containment,0.2596026490066225,0.015433070866141733,0.029134150873281313,196,559,12504,0.755,12.7
mistral,Synthea,Strict Token,0.08660508083140878,0.08828722778104768,0.08743806470416787,150,1582,1549,3.464,3.398
mistral,Synthea,Lenient Token-Containment,0.2592378752886836,0.26427310182460273,0.2617312736811425,449,1283,1250,3.464,3.398
gemma,Synthea,Strict Token,0.09472,0.17422012948793408,0.12271973466003316,296,2829,1403,6.25,3.398
gemma,Synthea,Lenient Token-Containment,0.11776,0.21659799882283695,0.15257048092868988,368,2757,1331,6.25,3.398
qwen,Synthea,Strict Token,0.07297537822604569,0.14479105356091818,0.0970414201183432,246,3125,1453,6.742,3.398
qwen,Synthea,Lenient Token-Containment,0.10619994067042421,0.2107121836374338,0.14122287968441816,358,3013,1341,6.742,3.398
biomistral,Synthea,Strict Token,0.027700831024930747,0.011771630370806356,0.016522098306484923,20,702,1679,1.444,3.398
biomistral,Synthea,Lenient Token-Containment,0.46537396121883656,0.19776339022954678,0.2775712515489467,336,386,1363,1.444,3.398
