tp,fp,fn,precision,recall,f1,num_preds,num_gold,num_unique_preds,duplicate_rate,note_id
2,8,9,0.2,0.18181818181818182,0.1904761904761905,10,11,10,0.0,16
0,7,11,0.0,0.0,0.0,7,11,7,0.0,41
0,8,11,0.0,0.0,0.0,8,11,8,0.0,46
1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999,9,11,9,0.0,82
1,9,10,0.1,0.09090909090909091,0.09523809523809525,10,11,10,0.0,100
0,9,11,0.0,0.0,0.0,9,11,9,0.0,161
1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999,9,11,9,0.0,188
2,6,9,0.25,0.18181818181818182,0.2105263157894737,8,11,8,0.0,211
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,224
1,5,10,0.16666666666666666,0.09090909090909091,0.11764705882352942,6,11,6,0.0,225
0,7,11,0.0,0.0,0.0,7,11,7,0.0,234
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,331
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,344
0,6,11,0.0,0.0,0.0,6,11,6,0.0,352
1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999,9,11,9,0.0,372
0,13,11,0.0,0.0,0.0,13,11,12,0.07692307692307687,390
1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999,9,11,9,0.0,426
0,10,11,0.0,0.0,0.0,10,11,10,0.0,464
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,489
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,495
0,4,11,0.0,0.0,0.0,4,11,4,0.0,510
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,575
0,8,11,0.0,0.0,0.0,8,11,8,0.0,583
2,6,9,0.25,0.18181818181818182,0.2105263157894737,8,11,8,0.0,585
0,7,11,0.0,0.0,0.0,7,11,7,0.0,625
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,653
0,8,11,0.0,0.0,0.0,8,11,8,0.0,669
0,10,11,0.0,0.0,0.0,10,11,10,0.0,673
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,699
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,701
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,719
0,14,11,0.0,0.0,0.0,14,11,14,0.0,768
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,769
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,777
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,796
0,7,11,0.0,0.0,0.0,7,11,7,0.0,804
0,10,11,0.0,0.0,0.0,10,11,10,0.0,810
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,816
0,5,11,0.0,0.0,0.0,5,11,5,0.0,817
1,8,10,0.1111111111111111,0.09090909090909091,0.09999999999999999,9,11,9,0.0,821
0,16,11,0.0,0.0,0.0,16,11,16,0.0,831
0,18,11,0.0,0.0,0.0,18,11,18,0.0,861
2,6,9,0.25,0.18181818181818182,0.2105263157894737,8,11,8,0.0,883
0,6,11,0.0,0.0,0.0,6,11,6,0.0,970
0,7,11,0.0,0.0,0.0,7,11,7,0.0,977
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,987
0,7,11,0.0,0.0,0.0,7,11,7,0.0,1010
0,7,11,0.0,0.0,0.0,7,11,7,0.0,1110
1,5,10,0.16666666666666666,0.09090909090909091,0.11764705882352942,6,11,6,0.0,1115
1,15,10,0.0625,0.09090909090909091,0.07407407407407407,16,11,16,0.0,1133
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,1146
0,7,11,0.0,0.0,0.0,7,11,7,0.0,1149
0,7,11,0.0,0.0,0.0,7,11,7,0.0,1151
0,9,11,0.0,0.0,0.0,9,11,9,0.0,1165
2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,7,11,7,0.0,1173
1,5,10,0.16666666666666666,0.09090909090909091,0.11764705882352942,6,11,6,0.0,1186
1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111,7,11,7,0.0,1200
0,9,11,0.0,0.0,0.0,9,11,9,0.0,1209
0,9,11,0.0,0.0,0.0,9,11,9,0.0,1235
0,6,11,0.0,0.0,0.0,6,11,6,0.0,1250
2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,7,11,7,0.0,1264
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,1270
0,9,11,0.0,0.0,0.0,9,11,9,0.0,1281
1,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,11,11,0.0,1318
1,7,10,0.125,0.09090909090909091,0.10526315789473685,8,11,8,0.0,1376
0,6,11,0.0,0.0,0.0,6,11,6,0.0,1512
0,8,11,0.0,0.0,0.0,8,11,8,0.0,1547
0,8,11,0.0,0.0,0.0,8,11,8,0.0,1581
0,9,11,0.0,0.0,0.0,9,11,9,0.0,1587
2,6,9,0.25,0.18181818181818182,0.2105263157894737,8,11,8,0.0,1613
0,10,11,0.0,0.0,0.0,10,11,10,0.0,1622
