tp,fp,fn,precision,recall,f1,num_preds,num_gold,num_unique_preds,duplicate_rate,note_id
0,1,4,0.0,0.0,0.0,1,4,1,0.0,0e15d8ce-140b-4aa2-bdf6-4c78942dec4b
1,5,1,0.16666666666666666,0.5,0.25,6,2,6,0.0,645cb62e-f0b4-42d5-acbb-df412d7fe071
0,1,4,0.0,0.0,0.0,1,4,1,0.0,08f2e120-c29d-47f7-b45e-ae1850ce6dfe
1,19,2,0.05,0.3333333333333333,0.08695652173913045,20,3,20,0.0,f2daeda0-ae6d-403f-8389-e507e33bbdeb
0,19,3,0.0,0.0,0.0,19,3,19,0.0,495b2779-c31d-4db0-acfc-da5f5326da03
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,9,3,9,0.0,eaf52c8f-0da7-481a-bf26-5ea13dba9137
0,1,5,0.0,0.0,0.0,1,5,1,0.0,fdc27951-a93e-4558-a353-a0e2f7f606d6
1,6,1,0.14285714285714285,0.5,0.22222222222222224,7,2,7,0.0,64fce315-68f3-4ea3-b18b-5f96229c199c
0,1,3,0.0,0.0,0.0,1,3,1,0.0,a8be31e2-ef8e-42e3-a6ec-4c3cf2c94943
0,3,3,0.0,0.0,0.0,3,3,3,0.0,63d47200-2e48-4c6f-9080-4538fdc426e8
0,1,5,0.0,0.0,0.0,1,5,1,0.0,64206d96-5b3d-4f57-9fe4-248ec5c05fd4
1,17,0,0.05555555555555555,1.0,0.10526315789473684,18,1,18,0.0,98f695fb-eddc-4aa6-b0ab-1de01cafaca8
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,9,3,9,0.0,8aeb3840-1318-4c0e-b60f-c3de9a120ab0
0,0,5,0.0,0.0,0.0,0,5,0,0.0,ca52d992-c882-4c5d-bf2e-1689d6d7b0aa
1,1,3,0.5,0.25,0.3333333333333333,2,4,2,0.0,1042123b-22c8-4d61-b6c9-c718be9363fb
0,2,3,0.0,0.0,0.0,2,3,2,0.0,f2415b98-e712-49a6-a197-4637f9a08629
0,1,4,0.0,0.0,0.0,1,4,1,0.0,efc1216f-0d5e-4b1e-98e7-cf51b199e188
0,1,3,0.0,0.0,0.0,1,3,1,0.0,436c37c9-90f4-4680-b28b-3069564e57cf
1,8,3,0.1111111111111111,0.25,0.15384615384615383,9,4,9,0.0,faa66a82-5b6f-4849-8ab6-838033a4660a
0,4,6,0.0,0.0,0.0,4,6,4,0.0,2b8835c1-60ab-4cf7-9d00-191f5cb8d439
0,1,5,0.0,0.0,0.0,1,5,1,0.0,b4e69ae4-448f-4f0e-adef-cd1ce5d8bcc7
1,7,1,0.125,0.5,0.2,8,2,8,0.0,3dda27a6-c349-4720-ac3c-65c7b65057ee
0,9,3,0.0,0.0,0.0,9,3,9,0.0,1b9178a3-ff3a-4f26-aea4-55f52006ab0d
0,7,2,0.0,0.0,0.0,7,2,7,0.0,69fefbc6-5c78-4af2-b7cb-36ca45e4a5e4
0,3,5,0.0,0.0,0.0,3,5,3,0.0,9e695056-5e02-418b-ac17-04574e227f7b
1,7,1,0.125,0.5,0.2,8,2,8,0.0,adcbe10b-1d72-4e9c-87b9-2b32a70dfb37
0,0,3,0.0,0.0,0.0,0,3,0,0.0,5ab6c73a-153a-4a0a-9514-37367f7834c5
0,2,4,0.0,0.0,0.0,2,4,2,0.0,952a2e3e-8470-436a-84f3-153214ec3735
0,16,3,0.0,0.0,0.0,16,3,16,0.0,462026d1-3057-4cd3-9a4c-383409819915
0,2,4,0.0,0.0,0.0,2,4,2,0.0,fce0f42d-55e7-4c8e-b09a-e2395e73bc32
0,7,2,0.0,0.0,0.0,7,2,7,0.0,b2e191a9-0fa8-4b9d-ae83-b1388ca6518e
1,7,1,0.125,0.5,0.2,8,2,8,0.0,b1ff2441-2f92-47f8-91c0-82893a55a35f
0,1,3,0.0,0.0,0.0,1,3,1,0.0,6cda92ee-83a9-4642-bf52-58654e18decb
0,7,3,0.0,0.0,0.0,7,3,7,0.0,ac8c67b4-35ea-43ce-96d0-caa78545782b
1,1,3,0.5,0.25,0.3333333333333333,2,4,2,0.0,986098c0-7cb8-491f-ba75-0b3076b53afa
1,20,3,0.047619047619047616,0.25,0.08,21,4,21,0.0,cf6fdaac-6127-4583-ab32-e10dbc6d8110
2,6,0,0.25,1.0,0.4,8,2,8,0.0,e80f609f-f770-4162-8f0f-1180eed84f5f
2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333,9,3,9,0.0,02da4773-e29e-4bf1-884e-a1866d1b9ece
1,18,2,0.05263157894736842,0.3333333333333333,0.09090909090909091,19,3,19,0.0,160f51d9-30ec-4394-84b8-bee4bf581eb9
0,1,4,0.0,0.0,0.0,1,4,1,0.0,3feaec34-cf4f-4f06-9174-aa9e06574d3e
1,17,1,0.05555555555555555,0.5,0.09999999999999999,18,2,18,0.0,26adb4ff-f45e-4d52-876e-dea6e48f283d
0,2,5,0.0,0.0,0.0,2,5,2,0.0,6dd8c2b9-4069-4ae4-b55b-1af78ee1b686
0,8,3,0.0,0.0,0.0,8,3,8,0.0,a349db9b-bb33-46a2-8354-1413cfdeb068
0,2,4,0.0,0.0,0.0,2,4,2,0.0,49219a11-b817-405b-bde2-9468fb519783
0,1,3,0.0,0.0,0.0,1,3,1,0.0,7db66a7e-fcaf-4150-ac8e-6ef2af44f9b1
0,1,5,0.0,0.0,0.0,1,5,1,0.0,f2948c5d-e841-499c-808a-465968c702c6
0,18,2,0.0,0.0,0.0,18,2,18,0.0,d3382a7a-64e2-46bc-bc57-a7b6fbd3cb22
0,1,4,0.0,0.0,0.0,1,4,1,0.0,fa31cdff-dc3c-46f2-a1c5-e358b1586c15
0,10,3,0.0,0.0,0.0,10,3,10,0.0,93571b92-0574-4e35-9fb3-2c17c45c7cc6
2,7,2,0.2222222222222222,0.5,0.30769230769230765,9,4,9,0.0,71984fcc-007d-41cc-ae8d-0acaa81a34ec
2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333,9,3,9,0.0,530d4095-8889-41bc-9728-2ef05199b43e
2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333,9,3,9,0.0,b89a24b3-7638-4109-8861-30dffc0b073b
0,21,4,0.0,0.0,0.0,21,4,21,0.0,337ec9b5-a4b5-4221-a4a8-96aa8162bc66
2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333,9,3,9,0.0,32115690-c2f7-4174-ae38-6f0998dba176
0,2,4,0.0,0.0,0.0,2,4,2,0.0,bb9afaa3-6681-45d4-974e-d364f3a5619f
1,17,2,0.05555555555555555,0.3333333333333333,0.09523809523809525,18,3,18,0.0,5565c8fa-9c64-454e-9271-e0c4cd24f5ba
0,1,3,0.0,0.0,0.0,1,3,1,0.0,ce7db1a7-8ff3-47dd-8bb2-d41654b01919
0,2,4,0.0,0.0,0.0,2,4,2,0.0,28815edd-eaf4-487c-bd95-7240e00952a2
0,1,3,0.0,0.0,0.0,1,3,1,0.0,39b2fe91-b182-41a9-8e6a-43cffb916571
1,0,4,1.0,0.2,0.33333333333333337,1,5,1,0.0,86ff49f3-8555-4415-a863-b02bb1af424b
0,21,2,0.0,0.0,0.0,21,2,21,0.0,511c5a37-ebfe-4a71-ae28-5d284dcb520d
1,0,3,1.0,0.25,0.4,1,4,1,0.0,a8340b70-c1e1-4dfd-b35a-593aa0599cfd
0,1,3,0.0,0.0,0.0,1,3,1,0.0,1e38e8d9-6527-4a73-ae43-d51a1fcfb0e9
