pattern,type
enalapril,medication
hemoglobin,medication
pitocin,medication
coumadin,medication
latin,medication
gentamicin,medication
avalide,medication
timolol,medication
within,medication
metoprolol,medication
tylenol,medication
statin,medication
feosol,medication
main,medication
hytrin,medication
cholesterol,medication
floxin,medication
guillain,medication
carboxyhemoglobin,medication
symlin,medication
dose,medication
qid,medication
tapazole,medication
glucotrol,medication
iu,medication
anticardiolipin,medication
martin,medication
mcg,medication
detrol,medication
lanoxin,medication
plain,medication
robitussin,medication
school,medication
inside,medication
drain,medication
robaxin,medication
chloride,medication
ferritin,medication
cogentin,medication
dosage,medication
grams,medication
claritin,medication
chain,medication
ventolin,medication
dilantin,medication
vicodin,medication
rocephin,medication
hydrochlorothiazide,medication
three times,medication
fein,medication
kool,medication
carisoprodol,medication
phenol,medication
midrin,medication
torsemide,medication
nystatin,medication
groin,medication
skelaxin,medication
doses,medication
stool,medication
polysporin,medication
salmeterol,medication
amoxicillin,medication
pantoprazole,medication
vein,medication
flecainide,medication
ciprofloxacin,medication
twin,medication
pravastatin,medication
warfarin,medication
brain,medication
rocaltrol,medication
maxitrol,medication
capsule,medication
acetazolamide,medication
akin,medication
bartholin,medication
enoxaparin,medication
michol,medication
capsules,medication
erythropoietin,medication
terasozin,medication
simvastatin,medication
premarin,medication
levaeuin,medication
ethanol,medication
lotensin,medication
ritalin,medication
divide,medication
maintain,medication
aspirin,medication
austin,medication
allopurinol,medication
aside,medication
esomeprazole,medication
tuberculin,medication
folstein,medication
maxzide,medication
serotonin,medication
ursodiol,medication
captopril,medication
metronidazole,medication
demerol,medication
pain,medication
atenolol,medication
neurontin,medication
methicillin,medication
octreotide,medication
losartan,medication
bismol,medication
ceftin,medication
motrin,medication
prothrombin,medication
levofloxacin,medication
again,medication
troponin,medication
tid,medication
prazosin,medication
thin,medication
dyazide,medication
clindamycin,medication
bid,medication
astelin,medication
rapide,medication
miacalcin,medication
hodgkin,medication
vitamin,medication
klonopin,medication
indocin,medication
ml,medication
twice daily,medication
humulin,medication
symbol,medication
skin,medication
control,medication
haloperidol,medication
indomethacin,medication
heparin,medication
units,medication
gabapentin,medication
augmentin,medication
origin,medication
isosorbide,medication
afrin,medication
albuterol,medication
kefzol,medication
furosemide,medication
bacitracin,medication
mastisol,medication
nubain,medication
macrodantin,medication
digoxin,medication
propranolol,medication
integrilin,medication
tablet,medication
cefoxitin,medication
tenormin,medication
metformin,medication
dexacidin,medication
whiteside,medication
minocin,medication
lisinopril,medication
cortisporin,medication
cefazolin,medication
vytorin,medication
wellbutrin,medication
neosporin,medication
albumin,medication
pills,medication
benzoin,medication
penicillin,medication
bernstein,medication
alcohol,medication
levaquin,medication
nitroglycerin,medication
protein,medication
fibrin,medication
tegretol,medication
begin,medication
unit,medication
mg,medication
toprol,medication
wisconsin,medication
roxanol,medication
doxepin,medication
tablets,medication
daily,medication
medrol,medication
taxol,medication
toradol,medication
omeprazole,medication
lotrimin,medication
haldol,medication
carvedilol,medication
tramadol,medication
prn,medication
epoetin,medication
pill,medication
insulin,medication
prandin,medication
outside,medication
fluconazole,medication
multivitamin,medication
bp,vital
degree,vital
lb,vital
blood pressure,vital
respiratory rate,vital
afebrile,vital
hr,vital
kilogram,vital
spo2,vital
centimeters,vital
degrees,vital
centimeter,vital
heart rate,vital
cm,vital
feet,vital
kilograms,vital
diastolic,vital
kg,vital
rr,vital
pound,vital
inches,vital
temp,vital
weight,vital
o2 sat,vital
oxygen saturation,vital
mmhg,vital
bpm,vital
body mass index,vital
systolic,vital
height,vital
bmi,vital
lbs,vital
febrile,vital
pounds,vital
pulse,vital
temperature,vital
in,vital
alt,lab
platelets,lab
t3,lab
hemoglobin,lab
platelet,lab
ast,lab
co2,lab
hct,lab
bmp,lab
bun,lab
sodium,lab
a1c,lab
hematocrit,lab
labs,lab
albumin,lab
panel,lab
gfr,lab
protein,lab
t4,lab
cmp,lab
glucose,lab
creatinine,lab
chloride,lab
plt,lab
pt,lab
lipid panel,lab
wbc,lab
calcium,lab
tsh,lab
laboratory,lab
lab,lab
lft,lab
cbc,lab
potassium,lab
hgb,lab
rbc,lab
bilirubin,lab
ptt,lab
inr,lab
blood work,lab
