tp,fp,fn,precision,recall,f1,pn_num
0,1,4,0.0,0.0,0.0,16
0,0,4,0.0,0.0,0.0,41
0,1,4,0.0,0.0,0.0,46
0,0,4,0.0,0.0,0.0,82
0,1,4,0.0,0.0,0.0,100
0,0,4,0.0,0.0,0.0,161
0,0,4,0.0,0.0,0.0,188
0,1,4,0.0,0.0,0.0,211
0,1,4,0.0,0.0,0.0,224
0,0,4,0.0,0.0,0.0,225
0,0,4,0.0,0.0,0.0,234
0,1,4,0.0,0.0,0.0,331
0,0,4,0.0,0.0,0.0,344
0,1,4,0.0,0.0,0.0,352
0,0,4,0.0,0.0,0.0,372
0,1,4,0.0,0.0,0.0,390
0,0,4,0.0,0.0,0.0,426
0,0,4,0.0,0.0,0.0,464
0,0,4,0.0,0.0,0.0,489
0,0,4,0.0,0.0,0.0,495
0,0,4,0.0,0.0,0.0,510
0,0,4,0.0,0.0,0.0,575
0,0,4,0.0,0.0,0.0,583
0,0,4,0.0,0.0,0.0,585
0,0,4,0.0,0.0,0.0,625
0,0,4,0.0,0.0,0.0,653
0,0,4,0.0,0.0,0.0,669
0,1,4,0.0,0.0,0.0,673
0,0,4,0.0,0.0,0.0,699
0,0,4,0.0,0.0,0.0,701
0,0,4,0.0,0.0,0.0,719
0,1,4,0.0,0.0,0.0,768
0,0,4,0.0,0.0,0.0,769
0,1,4,0.0,0.0,0.0,777
0,1,4,0.0,0.0,0.0,796
0,0,4,0.0,0.0,0.0,804
0,0,4,0.0,0.0,0.0,810
0,1,4,0.0,0.0,0.0,816
0,1,4,0.0,0.0,0.0,817
0,0,4,0.0,0.0,0.0,821
0,1,4,0.0,0.0,0.0,831
0,1,4,0.0,0.0,0.0,861
0,0,4,0.0,0.0,0.0,883
0,1,4,0.0,0.0,0.0,970
0,1,4,0.0,0.0,0.0,977
0,1,4,0.0,0.0,0.0,987
0,1,4,0.0,0.0,0.0,1010
0,1,4,0.0,0.0,0.0,1110
0,0,4,0.0,0.0,0.0,1115
0,0,4,0.0,0.0,0.0,1133
0,1,4,0.0,0.0,0.0,1146
0,1,4,0.0,0.0,0.0,1149
0,0,4,0.0,0.0,0.0,1151
0,1,4,0.0,0.0,0.0,1165
0,0,4,0.0,0.0,0.0,1173
