tp,fp,fn,precision,recall,f1,pn_num
1,5,3,0.16666666666666666,0.25,0.2,16
1,2,3,0.3333333333333333,0.25,0.28571428571428575,41
1,4,3,0.2,0.25,0.22222222222222224,46
1,3,3,0.25,0.25,0.25,82
1,3,3,0.25,0.25,0.25,100
0,3,4,0.0,0.0,0.0,161
1,1,3,0.5,0.25,0.3333333333333333,188
2,2,2,0.5,0.5,0.5,211
0,5,4,0.0,0.0,0.0,224
1,1,3,0.5,0.25,0.3333333333333333,225
1,9,3,0.1,0.25,0.14285714285714288,234
2,1,2,0.6666666666666666,0.5,0.5714285714285715,331
1,7,3,0.125,0.25,0.16666666666666666,344
0,2,4,0.0,0.0,0.0,352
2,3,2,0.4,0.5,0.4444444444444445,372
1,2,3,0.3333333333333333,0.25,0.28571428571428575,390
2,1,2,0.6666666666666666,0.5,0.5714285714285715,426
1,3,3,0.25,0.25,0.25,464
2,2,2,0.5,0.5,0.5,489
2,1,2,0.6666666666666666,0.5,0.5714285714285715,495
2,1,2,0.6666666666666666,0.5,0.5714285714285715,510
1,4,3,0.2,0.25,0.22222222222222224,575
2,1,2,0.6666666666666666,0.5,0.5714285714285715,583
2,3,2,0.4,0.5,0.4444444444444445,585
2,1,2,0.6666666666666666,0.5,0.5714285714285715,625
2,1,2,0.6666666666666666,0.5,0.5714285714285715,653
0,2,4,0.0,0.0,0.0,669
0,1,4,0.0,0.0,0.0,673
0,3,4,0.0,0.0,0.0,699
1,2,3,0.3333333333333333,0.25,0.28571428571428575,701
2,2,2,0.5,0.5,0.5,719
0,2,4,0.0,0.0,0.0,768
2,9,2,0.18181818181818182,0.5,0.26666666666666666,769
2,2,2,0.5,0.5,0.5,777
2,2,2,0.5,0.5,0.5,796
0,2,4,0.0,0.0,0.0,804
1,2,3,0.3333333333333333,0.25,0.28571428571428575,810
2,2,2,0.5,0.5,0.5,816
2,2,2,0.5,0.5,0.5,817
1,1,3,0.5,0.25,0.3333333333333333,821
1,5,3,0.16666666666666666,0.25,0.2,831
2,1,2,0.6666666666666666,0.5,0.5714285714285715,861
2,2,2,0.5,0.5,0.5,883
0,3,4,0.0,0.0,0.0,970
1,3,3,0.25,0.25,0.25,977
2,2,2,0.5,0.5,0.5,987
1,3,3,0.25,0.25,0.25,1010
0,3,4,0.0,0.0,0.0,1110
1,1,3,0.5,0.25,0.3333333333333333,1115
2,3,2,0.4,0.5,0.4444444444444445,1133
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1146
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1149
1,3,3,0.25,0.25,0.25,1151
0,1,4,0.0,0.0,0.0,1165
1,3,3,0.25,0.25,0.25,1173
1,1,3,0.5,0.25,0.3333333333333333,1186
1,3,3,0.25,0.25,0.25,1200
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1209
0,4,4,0.0,0.0,0.0,1235
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1250
3,1,1,0.75,0.75,0.75,1264
2,1,2,0.6666666666666666,0.5,0.5714285714285715,1270
2,1,2,0.6666666666666666,0.5,0.5714285714285715,1281
2,2,2,0.5,0.5,0.5,1318
1,3,3,0.25,0.25,0.25,1376
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1512
1,5,3,0.16666666666666666,0.25,0.2,1547
1,4,3,0.2,0.25,0.22222222222222224,1581
0,4,4,0.0,0.0,0.0,1587
2,2,2,0.5,0.5,0.5,1613
0,3,4,0.0,0.0,0.0,1622
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1652
2,2,2,0.5,0.5,0.5,1692
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1694
1,3,3,0.25,0.25,0.25,1699
1,3,3,0.25,0.25,0.25,1723
2,4,2,0.3333333333333333,0.5,0.4,1742
0,4,4,0.0,0.0,0.0,1809
1,3,3,0.25,0.25,0.25,1835
0,2,4,0.0,0.0,0.0,1847
1,3,3,0.25,0.25,0.25,1855
1,3,3,0.25,0.25,0.25,1881
1,3,3,0.25,0.25,0.25,1939
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1948
0,3,4,0.0,0.0,0.0,2078
2,1,2,0.6666666666666666,0.5,0.5714285714285715,2151
2,2,2,0.5,0.5,0.5,2163
0,6,4,0.0,0.0,0.0,2184
2,3,2,0.4,0.5,0.4444444444444445,2198
2,2,2,0.5,0.5,0.5,2201
1,2,3,0.3333333333333333,0.25,0.28571428571428575,2223
1,3,3,0.25,0.25,0.25,2271
0,3,4,0.0,0.0,0.0,2285
1,3,3,0.25,0.25,0.25,2290
1,3,3,0.25,0.25,0.25,2308
0,1,4,0.0,0.0,0.0,2315
1,9,3,0.1,0.25,0.14285714285714288,2425
2,2,2,0.5,0.5,0.5,2428
1,4,3,0.2,0.25,0.22222222222222224,2430
0,3,4,0.0,0.0,0.0,2436
1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,10004
0,3,3,0.0,0.0,0.0,10010
0,6,3,0.0,0.0,0.0,10013
0,6,3,0.0,0.0,0.0,10019
1,1,2,0.5,0.3333333333333333,0.4,10028
0,6,3,0.0,0.0,0.0,10030
0,3,3,0.0,0.0,0.0,10044
0,6,3,0.0,0.0,0.0,10047
0,7,3,0.0,0.0,0.0,10067
0,5,3,0.0,0.0,0.0,10075
0,3,3,0.0,0.0,0.0,10101
0,10,3,0.0,0.0,0.0,10123
0,3,3,0.0,0.0,0.0,10124
0,2,3,0.0,0.0,0.0,10131
2,2,1,0.5,0.6666666666666666,0.5714285714285715,10132
0,8,3,0.0,0.0,0.0,10137
0,8,3,0.0,0.0,0.0,10174
0,7,3,0.0,0.0,0.0,10180
