tp,fp,fn,precision,recall,f1,pn_num
1,2,3,0.3333333333333333,0.25,0.28571428571428575,16
2,1,2,0.6666666666666666,0.5,0.5714285714285715,41
0,5,4,0.0,0.0,0.0,46
0,0,4,0.0,0.0,0.0,82
1,14,3,0.06666666666666667,0.25,0.10526315789473685,100
1,1,3,0.5,0.25,0.3333333333333333,161
1,1,3,0.5,0.25,0.3333333333333333,188
2,2,2,0.5,0.5,0.5,211
1,3,3,0.25,0.25,0.25,224
1,1,3,0.5,0.25,0.3333333333333333,225
0,1,4,0.0,0.0,0.0,234
2,1,2,0.6666666666666666,0.5,0.5714285714285715,331
1,2,3,0.3333333333333333,0.25,0.28571428571428575,344
0,0,4,0.0,0.0,0.0,352
0,2,4,0.0,0.0,0.0,372
0,6,4,0.0,0.0,0.0,390
2,1,2,0.6666666666666666,0.5,0.5714285714285715,426
0,3,4,0.0,0.0,0.0,464
2,2,2,0.5,0.5,0.5,489
0,0,4,0.0,0.0,0.0,495
2,2,2,0.5,0.5,0.5,510
1,5,3,0.16666666666666666,0.25,0.2,575
0,3,4,0.0,0.0,0.0,583
2,1,2,0.6666666666666666,0.5,0.5714285714285715,585
0,2,4,0.0,0.0,0.0,625
1,2,3,0.3333333333333333,0.25,0.28571428571428575,653
0,0,4,0.0,0.0,0.0,669
0,0,4,0.0,0.0,0.0,673
0,3,4,0.0,0.0,0.0,699
1,2,3,0.3333333333333333,0.25,0.28571428571428575,701
2,2,2,0.5,0.5,0.5,719
1,14,3,0.06666666666666667,0.25,0.10526315789473685,768
2,2,2,0.5,0.5,0.5,769
1,2,3,0.3333333333333333,0.25,0.28571428571428575,777
2,2,2,0.5,0.5,0.5,796
0,2,4,0.0,0.0,0.0,804
1,2,3,0.3333333333333333,0.25,0.28571428571428575,810
2,2,2,0.5,0.5,0.5,816
2,2,2,0.5,0.5,0.5,817
1,2,3,0.3333333333333333,0.25,0.28571428571428575,821
1,4,3,0.2,0.25,0.22222222222222224,831
1,11,3,0.08333333333333333,0.25,0.125,861
2,2,2,0.5,0.5,0.5,883
0,0,4,0.0,0.0,0.0,970
1,3,3,0.25,0.25,0.25,977
0,0,4,0.0,0.0,0.0,987
0,0,4,0.0,0.0,0.0,1010
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1110
1,1,3,0.5,0.25,0.3333333333333333,1115
0,0,4,0.0,0.0,0.0,1133
1,1,3,0.5,0.25,0.3333333333333333,1146
0,2,4,0.0,0.0,0.0,1149
1,1,3,0.5,0.25,0.3333333333333333,1151
0,5,4,0.0,0.0,0.0,1165
2,1,2,0.6666666666666666,0.5,0.5714285714285715,1173
1,1,3,0.5,0.25,0.3333333333333333,1186
1,0,3,1.0,0.25,0.4,1200
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1209
0,0,4,0.0,0.0,0.0,1235
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1250
2,3,2,0.4,0.5,0.4444444444444445,1264
0,0,4,0.0,0.0,0.0,1270
2,1,2,0.6666666666666666,0.5,0.5714285714285715,1281
0,0,4,0.0,0.0,0.0,1318
1,3,3,0.25,0.25,0.25,1376
0,0,4,0.0,0.0,0.0,1512
0,0,4,0.0,0.0,0.0,1547
2,3,2,0.4,0.5,0.4444444444444445,1581
0,3,4,0.0,0.0,0.0,1587
2,1,2,0.6666666666666666,0.5,0.5714285714285715,1613
0,7,4,0.0,0.0,0.0,1622
1,8,3,0.1111111111111111,0.25,0.15384615384615383,1652
2,2,2,0.5,0.5,0.5,1692
1,1,3,0.5,0.25,0.3333333333333333,1694
0,0,4,0.0,0.0,0.0,1699
0,2,4,0.0,0.0,0.0,1723
2,3,2,0.4,0.5,0.4444444444444445,1742
0,3,4,0.0,0.0,0.0,1809
2,2,2,0.5,0.5,0.5,1835
0,2,4,0.0,0.0,0.0,1847
2,3,2,0.4,0.5,0.4444444444444445,1855
1,3,3,0.25,0.25,0.25,1881
0,0,4,0.0,0.0,0.0,1939
1,2,3,0.3333333333333333,0.25,0.28571428571428575,1948
0,2,4,0.0,0.0,0.0,2078
1,2,3,0.3333333333333333,0.25,0.28571428571428575,2151
2,2,2,0.5,0.5,0.5,2163
0,2,4,0.0,0.0,0.0,2184
2,1,2,0.6666666666666666,0.5,0.5714285714285715,2198
2,2,2,0.5,0.5,0.5,2201
1,2,3,0.3333333333333333,0.25,0.28571428571428575,2223
0,5,4,0.0,0.0,0.0,2271
1,1,3,0.5,0.25,0.3333333333333333,2285
1,3,3,0.25,0.25,0.25,2290
1,3,3,0.25,0.25,0.25,2308
0,0,4,0.0,0.0,0.0,2315
1,6,3,0.14285714285714285,0.25,0.18181818181818182,2425
0,0,4,0.0,0.0,0.0,2428
2,3,2,0.4,0.5,0.4444444444444445,2430
0,2,4,0.0,0.0,0.0,2436
0,1,3,0.0,0.0,0.0,10004
0,3,3,0.0,0.0,0.0,10010
0,5,3,0.0,0.0,0.0,10013
0,4,3,0.0,0.0,0.0,10019
0,3,3,0.0,0.0,0.0,10028
0,4,3,0.0,0.0,0.0,10030
0,8,3,0.0,0.0,0.0,10044
1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,10047
0,5,3,0.0,0.0,0.0,10067
0,13,3,0.0,0.0,0.0,10075
0,3,3,0.0,0.0,0.0,10101
0,5,3,0.0,0.0,0.0,10123
0,3,3,0.0,0.0,0.0,10124
0,0,3,0.0,0.0,0.0,10131
2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,10132
0,5,3,0.0,0.0,0.0,10137
0,7,3,0.0,0.0,0.0,10174
0,2,3,0.0,0.0,0.0,10180
1,6,2,0.14285714285714285,0.3333333333333333,0.2,10181
0,5,3,0.0,0.0,0.0,10182
0,3,3,0.0,0.0,0.0,10183
0,3,3,0.0,0.0,0.0,10192
0,2,3,0.0,0.0,0.0,10196
0,3,3,0.0,0.0,0.0,10201
0,6,3,0.0,0.0,0.0,10206
0,7,3,0.0,0.0,0.0,10216
0,2,3,0.0,0.0,0.0,10223
0,0,3,0.0,0.0,0.0,10227
0,4,3,0.0,0.0,0.0,10228
0,4,3,0.0,0.0,0.0,10233
0,2,3,0.0,0.0,0.0,10267
0,3,3,0.0,0.0,0.0,10268
0,3,3,0.0,0.0,0.0,10269
0,3,3,0.0,0.0,0.0,10316
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10321
0,0,3,0.0,0.0,0.0,10329
0,3,3,0.0,0.0,0.0,10341
0,3,3,0.0,0.0,0.0,10345
1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,10354
0,4,3,0.0,0.0,0.0,10358
0,1,3,0.0,0.0,0.0,10360
0,3,3,0.0,0.0,0.0,10368
0,3,3,0.0,0.0,0.0,10369
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,10384
0,6,3,0.0,0.0,0.0,10414
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10420
0,1,3,0.0,0.0,0.0,10426
0,3,3,0.0,0.0,0.0,10454
1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,10459
1,1,2,0.5,0.3333333333333333,0.4,10460
1,6,2,0.14285714285714285,0.3333333333333333,0.2,10476
0,4,3,0.0,0.0,0.0,10487
0,9,3,0.0,0.0,0.0,10502
0,2,3,0.0,0.0,0.0,10530
1,10,2,0.09090909090909091,0.3333333333333333,0.14285714285714288,10534
0,3,3,0.0,0.0,0.0,10536
0,2,3,0.0,0.0,0.0,10537
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10538
0,0,3,0.0,0.0,0.0,10542
0,3,3,0.0,0.0,0.0,10555
0,5,3,0.0,0.0,0.0,10589
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10592
0,1,3,0.0,0.0,0.0,10593
0,3,3,0.0,0.0,0.0,10608
0,3,3,0.0,0.0,0.0,10620
0,10,3,0.0,0.0,0.0,10622
0,4,3,0.0,0.0,0.0,10639
1,4,2,0.2,0.3333333333333333,0.25,10645
0,9,3,0.0,0.0,0.0,10646
0,0,3,0.0,0.0,0.0,10659
1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,10665
0,0,3,0.0,0.0,0.0,10693
0,5,3,0.0,0.0,0.0,10738
0,4,3,0.0,0.0,0.0,10747
0,1,3,0.0,0.0,0.0,10750
0,3,3,0.0,0.0,0.0,10772
0,0,3,0.0,0.0,0.0,10780
0,4,3,0.0,0.0,0.0,10785
0,3,3,0.0,0.0,0.0,10814
0,2,3,0.0,0.0,0.0,10819
0,5,3,0.0,0.0,0.0,10820
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10822
0,4,3,0.0,0.0,0.0,10846
0,4,3,0.0,0.0,0.0,10847
0,1,3,0.0,0.0,0.0,10850
0,0,3,0.0,0.0,0.0,10851
0,6,3,0.0,0.0,0.0,10852
0,2,3,0.0,0.0,0.0,10854
1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,10860
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10869
1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666,10873
0,4,3,0.0,0.0,0.0,10888
0,3,3,0.0,0.0,0.0,10911
0,3,3,0.0,0.0,0.0,10926
0,1,3,0.0,0.0,0.0,10944
0,3,3,0.0,0.0,0.0,10952
0,1,3,0.0,0.0,0.0,10968
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10970
0,5,3,0.0,0.0,0.0,10972
1,3,2,0.25,0.3333333333333333,0.28571428571428575,10988
2,6,5,0.25,0.2857142857142857,0.26666666666666666,20001
0,2,7,0.0,0.0,0.0,20040
0,0,7,0.0,0.0,0.0,20118
1,3,6,0.25,0.14285714285714285,0.18181818181818182,20158
3,2,4,0.6,0.42857142857142855,0.5,20167
2,9,5,0.18181818181818182,0.2857142857142857,0.2222222222222222,20169
1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,20203
0,3,7,0.0,0.0,0.0,20225
2,2,5,0.5,0.2857142857142857,0.36363636363636365,20259
2,1,5,0.6666666666666666,0.2857142857142857,0.4,20260
2,3,5,0.4,0.2857142857142857,0.3333333333333333,20299
2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,20303
0,0,7,0.0,0.0,0.0,20304
1,3,6,0.25,0.14285714285714285,0.18181818181818182,20360
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,20377
2,2,5,0.5,0.2857142857142857,0.36363636363636365,20383
2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,20388
1,8,6,0.1111111111111111,0.14285714285714285,0.125,20410
2,2,5,0.5,0.2857142857142857,0.36363636363636365,20445
0,0,7,0.0,0.0,0.0,20458
1,5,6,0.16666666666666666,0.14285714285714285,0.15384615384615383,20492
0,3,7,0.0,0.0,0.0,20507
2,4,5,0.3333333333333333,0.2857142857142857,0.30769230769230765,20540
2,2,5,0.5,0.2857142857142857,0.36363636363636365,20572
