Model,Threshold,Micro_Precision,Micro_Recall,Micro_F1
mistral,0.5,0.28721098265895956,0.265,0.27565880721220526
gemma,0.5,0.1329847692657422,0.195,0.15812947695634544
qwen,0.5,0.2968392120934494,0.216,0.2500482346131584
biomistral,0.5,0.29271523178807946,0.036833333333333336,0.06543301258327165
mistral,0.6,0.16997832369942195,0.15683333333333332,0.16314147018030511
gemma,0.6,0.08297340304614685,0.12166666666666667,0.09866198134883093
qwen,0.6,0.17246907924874028,0.1255,0.14528265483310823
biomistral,0.6,0.07417218543046358,0.009333333333333334,0.016580310880829018
mistral,0.7,0.14071531791907516,0.12983333333333333,0.13505547850208047
gemma,0.7,0.07478972493748579,0.10966666666666666,0.08893093661305582
qwen,0.7,0.14544205222171325,0.10583333333333333,0.12251591742234227
biomistral,0.7,0.05033112582781457,0.006333333333333333,0.011250925240562547
